MAPE,L-Co-R,ETS,Croston,Theta,RW,ARIMA,
Airline,30.380,274.770,72.606,141.452,137.986,53.636,
WmFrancfort,16.423,17.393,40.544,22.745,25.169,12.136,
WmLondon,2.860,5.383,27.682,10.136,13.397,5.212,
WmMadrid,20.101,27.035,44.285,25.505,27.034,12.930,
WmMilan,30.529,34.858,49.750,34.078,34.823,34.823,
WmNewYork,8.259,7.182,30.297,14.669,18.073,7.536,
WmTokyo,4.764,12.807,20.556,10.575,12.591,12.591,
Deceases,5.981,8.002,7.472,7.264,8.040,8.040,
SpaMovSpec,53.788,217.978,78.648,70.500,78.935,88.197,
Exchange,43.044,46.025,31.121,39.138,33.631,45.254,
Gasoline,1.654,7.986,9.587,6.701,7.974,9.359,
MortCanc,1.137,12.979,32.489,5.889,6.256,5.440,
MortMade,3.931,13.526,46.362,40.272,12.800,31.000,
Books,13.787,23.588,23.122,22.360,22.640,23.476,
FreeHouPrize,3.424,8.540,29.271,5.215,9.220,10.227,
Presos,8.392,3.103,14.220,6.888,9.474,3.150,
TurIn,1.357,7.074,11.234,7.084,7.110,6.377,
TurOut,8.133,13.261,12.159,15.238,13.226,9.634,
TUrban,2.734,11.957,9.067,8.949,10.116,9.291,
HouseFin,16.452,22.296,21.548,19.947,22.887,19.555,
