MASE,L-Co-R,ETS,Croston,Theta,RW,ARIMA,
Airline,1.913,12.707,2.738,5.853,5.664,1.441,
WmFrancfort,3.578,3.608,7.984,4.673,5.159,7.988,
WmLondon,1.648,1.603,8.410,3.099,4.119,3.484,
WmMadrid,4.442,5.686,9.126,5.362,5.685,8.625,
WmMilan,5.967,6.684,9.263,6.534,6.678,19.327,
WmNewYork,2.667,1.837,7.982,3.942,4.879,6.228,
WmTokyo,2.791,2.443,3.935,2.129,2.402,1.628,
Deceases,1.059,1.059,0.952,0.955,1.064,1.144,
SpaMovSpec,1.027,2.027,1.009,1.023,1.010,1.933,
Exchange,41.181,44.039,30.448,37.807,32.825,70.734,
Gasoline,1.198,1.543,1.864,1.274,1.541,1.698,
MortCanc,0.646,1.618,4.098,0.725,0.796,0.277,
MortMade,1.314,1.303,4.500,3.869,1.315,1.712,
Books,0.762,0.965,0.936,0.894,0.759,1.147,
FreeHouPrize,3.339,5.642,19.468,3.487,6.183,6.805,
Presos,14.482,5.485,23.979,11.934,16.305,4.031,
TurIn,1.903,1.902,3.151,1.824,1.916,1.950,
TurOut,2.005,2.000,2.088,2.239,1.996,2.241,
TUrban,0.886,0.978,0.772,0.744,0.887,0.897,
HouseFin,1.319,1.283,1.234,1.095,1.322,1.502,
