EX,IT,EVALUATIONS,BEST_F,AVERAGE_F,BEST_DEPTH,AVERAGE_DEPTH,BEST_SIZE,AVERAGE_SIZE,BEST_AGE,AVERAGE_AGE 
0,0,0,1.021648737093873,0.7449537530358232,3,3.125,7,7.0,1,1.0
0,1,0,1.0019432407866677,0.8413022366833884,3,3.21875,5,6.8125,1,1.625
0,2,0,1.5205782624330557,0.9075030943114413,4,3.28125,7,6.75,1,2.15625
0,3,0,1.1356635405853128,0.8960316317519352,4,3.28125,9,6.8125,2,2.84375
0,4,0,1.2143580807477377,0.8987812841775209,4,3.40625,11,7.0,1,3.0
0,5,0,1.2157275095742395,0.9218771806747376,4,3.46875,11,7.1875,2,3.53125
0,6,0,1.30658055407247,0.9510337910557494,4,3.65625,9,7.625,2,3.28125
0,7,0,1.270382560983273,0.9533832241101354,3,3.625,7,7.5,3,3.875
0,8,0,1.465846094813031,0.983896477648395,4,3.65625,11,7.875,1,3.15625
0,9,0,1.482790027235369,1.0087119330761607,5,3.78125,11,8.25,1,3.375
0,10,0,1.4046261615686082,1.0420338385349266,5,4.125,11,9.25,2,3.59375
0,11,0,1.530666528898609,1.0972097372411562,4,4.125,9,9.1875,2,3.78125
0,12,0,1.4958702113479632,1.1229285540936036,4,4.0625,9,9.0625,3,4.34375
0,13,0,1.574139078032786,1.1547019400730874,4,4.15625,9,9.375,1,4.46875
0,14,0,1.68797996938097,1.2027529793798861,6,4.375,13,9.8125,1,4.3125
0,15,0,1.7037370234396811,1.253437457402613,6,4.46875,13,10.0,2,4.40625
0,16,0,1.668665557695507,1.3007883491561611,6,4.4375,15,10.0,1,4.5
0,17,0,1.915875178202494,1.3679087760088657,6,4.40625,15,10.0625,2,3.5625
0,18,0,1.7582152805787952,1.3965497446177884,3,4.1875,7,9.625,3,3.5
0,19,0,1.7429882142399449,1.4497105760720645,6,4.34375,13,10.0625,6,3.6875
0,20,0,1.765110858811573,1.4991642575473987,4,4.4375,9,10.3125,3,4.0
0,21,0,1.760206889534674,1.56734129617825,6,4.78125,13,11.25,1,3.78125
0,22,0,1.7688032190304699,1.6059461740867487,6,5.1875,15,12.25,7,4.0
0,23,0,1.9242355672718352,1.6581705653451484,7,5.375,17,12.625,5,4.1875
0,24,0,1.79439061323081,1.7025582248386923,6,5.875,13,14.125,4,4.125
0,25,0,1.938028503591934,1.7302454321531224,5,5.96875,11,14.375,3,3.90625
0,26,0,2.1956417982995684,1.7314221257836386,4,5.8125,9,14.25,1,4.125
0,27,0,2.161597413345141,1.7386466414595911,4,6.0,9,14.8125,2,4.1875
0,28,0,2.244150256295412,1.7721265979120764,7,6.03125,15,15.0625,7,4.03125
0,29,0,2.1959216572913385,1.7498955337491067,4,5.84375,9,14.5,4,4.21875
0,30,0,2.2599341520270584,1.785698529649176,7,5.875,19,14.4375,1,4.875
0,31,0,2.1978193307982035,1.759295643870871,4,5.875,9,14.3125,1,4.875
0,32,0,2.1873681468633803,1.7521411519591714,4,5.875,9,14.5,7,4.5625
0,33,0,2.4389270350742422,1.787876368177917,7,5.8125,17,14.6875,1,4.40625
0,34,0,2.1872723336579845,1.7339366877471756,4,5.875,9,14.9375,9,4.75
0,35,0,2.1959149733471053,1.7498464069624111,4,5.90625,9,14.9375,10,4.59375
0,36,0,2.189700951056813,1.7622025632471467,4,5.84375,9,14.8125,11,5.0
0,37,0,2.1403084239814207,1.7613355333061669,4,5.96875,9,15.1875,12,5.1875
0,38,0,2.1311407329454113,1.7594377418592615,4,6.0,9,15.25,13,5.21875
0,39,0,2.1904092962209063,1.7486918507487696,4,6.125,9,15.6875,14,5.03125
0,40,0,1.831322981778484,1.7420158394039287,7,6.1875,21,16.0,3,4.6875
0,41,0,1.8174952907173219,1.7305749656813594,7,6.1875,17,15.9375,3,4.9375
0,42,0,1.826853814731935,1.7478172104524408,6,6.21875,13,16.0,3,5.09375
0,43,0,1.9883741723603472,1.7502622719226444,6,6.25,13,16.0,18,5.6875
0,44,0,1.855762516567704,1.7464877617665384,7,6.15625,17,15.6875,8,5.625
0,45,0,1.9177734446963592,1.742387343493417,7,6.1875,19,15.9375,13,6.0
0,46,0,2.491554152794584,1.7850789392109208,4,6.46875,9,17.375,11,5.6875
0,47,0,2.371493671411868,1.7820434180925984,7,6.46875,21,17.5625,1,5.4375
0,48,0,2.395833133438564,1.8006980543950322,7,6.46875,21,17.6875,3,6.0625
0,49,0,2.407978666396554,1.8184832520437246,7,6.46875,21,17.9375,3,5.28125
1,0,0,0.9497559724597959,0.6970256680190355,3,3.09375,7,7.0,1,1.0
1,1,0,1.1172188217275671,0.8054904969597981,3,3.1875,7,7.125,1,1.59375
1,2,0,1.133550109117739,0.8672533566420837,3,3.21875,7,7.1875,2,2.09375
1,3,0,1.1714878829962054,0.9106453902477133,3,3.25,7,7.3125,1,2.5
1,4,0,1.226770212994647,0.9388618440007972,4,3.375,9,7.5,1,2.5625
1,5,0,1.245332213874796,0.9628793675379603,4,3.5625,9,7.9375,2,2.6875
1,6,0,1.278123701479806,1.0197639099173135,3,3.75,7,8.625,1,2.875
1,7,0,1.431150945302329,1.0517661528836935,3,4.03125,7,9.375,2,2.6875
1,8,0,1.240959532122395,1.0469398882380518,3,4.1875,7,9.625,3,3.40625
1,9,0,1.2676986381781572,1.0791636555796489,3,4.21875,7,9.875,4,3.59375
1,10,0,1.491349481198525,1.1296895430375602,3,4.21875,7,9.75,4,3.96875
1,11,0,1.257947130371038,1.11074387332676,5,4.375,13,10.0625,3,4.03125
1,12,0,1.8305423781840848,1.1550754251398636,3,4.53125,7,10.3125,6,4.59375
1,13,0,1.283151936558095,1.1502992830128678,3,4.71875,7,10.8125,2,4.375
1,14,0,1.770870293921531,1.1929352523166998,3,4.6875,7,10.6875,9,4.46875
1,15,0,1.508338943013363,1.1943952022816084,4,4.71875,9,10.6875,2,4.75
1,16,0,1.54232470483394,1.187477388119795,3,4.78125,7,10.8125,10,4.65625
1,17,0,1.475791859757917,1.219010534362774,3,4.40625,7,10.125,11,4.71875
1,18,0,1.696003130000418,1.2653413532213014,3,4.125,7,9.3125,2,4.6875
1,19,0,1.412016869438133,1.2520003639002684,3,3.96875,7,8.9375,4,5.125
1,20,0,1.560911294460758,1.2953172214441522,4,3.9375,9,8.8125,1,4.46875
1,21,0,1.479828100328167,1.28967241454014,4,3.96875,9,8.875,1,5.1875
1,22,0,1.611935700851574,1.2921773367245344,4,4.0,9,9.0,3,5.28125
1,23,0,1.9196553655451472,1.3425087680764167,4,4.28125,9,9.875,2,5.15625
1,24,0,1.578340286421396,1.2936587580521735,4,4.1875,11,9.6875,3,5.25
1,25,0,1.888396596378609,1.3459778968024971,4,4.21875,9,9.625,4,5.4375
1,26,0,1.72589056130105,1.3361871995094907,3,4.3125,7,9.875,1,6.0625
1,27,0,1.873409605899298,1.3927956043188954,4,4.21875,9,9.875,3,5.65625
1,28,0,1.8824295049427942,1.453711982942725,5,4.15625,13,9.875,1,3.625
1,29,0,1.9848870433133867,1.4556164707788946,4,4.28125,9,10.5,2,3.9375
1,30,0,1.839012928197806,1.4667707566067982,4,4.125,7,9.875,1,4.65625
1,31,0,1.8190974571662242,1.4474204449449515,4,4.21875,9,10.0625,5,4.21875
1,32,0,2.009222825049299,1.4748116076957227,4,4.1875,7,9.875,1,4.09375
1,33,0,2.081907497147326,1.497058728301281,4,4.375,9,10.1875,1,4.34375
1,34,0,1.9465888181742397,1.5899597269211625,4,4.71875,9,11.0,3,3.71875
1,35,0,2.164385550968502,1.5806296747740622,4,4.8125,9,11.25,4,4.15625
1,36,0,1.8844949398986488,1.530821177237432,4,4.8125,11,11.25,2,4.28125
1,37,0,1.9142230060079881,1.4716382403961668,7,4.96875,15,11.75,7,4.71875
1,38,0,1.979434174464215,1.5435248379889608,4,5.125,9,12.0625,7,4.78125
1,39,0,1.9126936536563373,1.5137069028509316,4,5.34375,11,12.8125,4,4.78125
1,40,0,2.169776871672681,1.552063860439508,4,5.1875,9,12.5625,8,5.1875
1,41,0,1.8768183835428873,1.5516769873620717,4,5.09375,9,12.4375,1,5.34375
1,42,0,1.8990339533835159,1.5143452218961078,7,5.3125,19,13.0625,2,4.375
1,43,0,1.9287931257714341,1.5268475747248083,6,5.5,19,13.75,2,4.625
1,44,0,2.127686545001376,1.586529373956369,7,5.46875,23,13.375,3,4.65625
1,45,0,1.778002029950607,1.5184550637419578,6,5.75,13,14.3125,3,4.84375
1,46,0,1.9701161243224847,1.5602163581859654,3,6.0,7,14.8125,21,4.0625
1,47,0,2.174839295106497,1.6285522344601056,6,6.21875,13,15.3125,7,3.71875
1,48,0,2.081095915484156,1.663528002103526,6,6.21875,11,15.1875,6,4.28125
1,49,0,1.856005886036078,1.540836698673822,6,6.03125,11,14.6875,7,4.78125
2,0,0,1.0690597407435967,0.768268728878825,3,3.03125,7,7.0,1,1.0
2,1,0,1.0475261589993747,0.8473501246087843,3,3.09375,7,6.875,2,1.6875
2,2,0,1.072358584901413,0.8789008254691072,3,3.15625,7,6.875,3,2.125
2,3,0,1.0481318572483493,0.8818518062898063,3,3.1875,7,6.8125,4,2.59375
2,4,0,1.302020371277285,0.8919161474611593,3,3.3125,7,7.1875,1,2.75
2,5,0,2.1185889143547616,0.9294672356796615,3,3.375,7,7.125,2,3.1875
2,6,0,1.460192021056344,0.913429841070285,3,3.4375,7,7.125,3,3.03125
2,7,0,1.725151504498809,0.9394942337430873,3,3.625,7,7.625,4,3.25
2,8,0,1.672376637820798,0.9624824603750873,5,3.59375,11,7.5,2,3.625
2,9,0,1.8826255419120101,0.996679092550622,3,3.65625,7,7.5,6,3.9375
2,10,0,1.902279683929132,1.0102364230948455,5,3.65625,11,7.375,4,4.03125
2,11,0,1.6646687785132332,1.0142666283742023,5,3.875,9,7.875,1,4.46875
2,12,0,1.7850985374946229,1.0920981296496342,4,4.0625,7,8.4375,3,4.75
2,13,0,2.1695495489691736,1.101333143311957,4,4.0,7,8.25,4,5.09375
2,14,0,1.704643483191874,1.1514932397993365,5,4.1875,11,8.875,1,5.0625
2,15,0,1.7605939552723613,1.2243088980800996,4,4.0625,7,8.75,1,4.8125
2,16,0,1.7808913583490975,1.2862132309346337,6,3.96875,13,8.4375,2,5.0625
2,17,0,2.2186808593083738,1.3501219001687346,4,4.0625,7,8.625,3,4.5
2,18,0,2.2551617258962002,1.4621410436029199,6,4.34375,13,9.1875,4,4.78125
2,19,0,2.22219671569412,1.5070873582784936,5,4.59375,11,9.8125,1,4.46875
2,20,0,2.216547075765914,1.540992392169708,6,4.8125,13,10.0625,6,4.34375
2,21,0,2.260187671047246,1.5544835541624047,7,4.84375,15,10.1875,3,4.96875
2,22,0,1.8617547899485292,1.5215154345490314,5,4.8125,9,10.125,3,5.5625
2,23,0,2.2244380661860816,1.6609908501831196,3,5.125,5,10.6875,5,5.25
2,24,0,2.1750285429734664,1.5656351036668283,6,5.21875,13,10.875,1,5.40625
2,25,0,2.3244437774476046,1.6766262403078012,4,5.3125,7,11.0,2,5.875
2,26,0,2.3708277128370634,1.6421569794685764,4,5.46875,7,11.3125,3,5.59375
2,27,0,2.332748919804679,1.7276209448349047,4,5.71875,7,11.8125,4,4.40625
2,28,0,2.284521906093322,1.7149651157534087,4,5.78125,7,12.25,5,4.5
2,29,0,2.365288469121325,1.727728344746373,4,5.78125,7,12.375,6,4.5
2,30,0,2.3830053545448826,1.7818961332076433,4,6.09375,7,13.25,7,4.09375
2,31,0,2.35106886514308,1.867542141017708,4,5.875,7,12.5,3,3.9375
2,32,0,2.3407895885216212,1.7915476259755194,4,5.78125,7,12.3125,9,3.9375
2,33,0,2.3309357972401723,1.9411291585115773,4,5.71875,7,12.25,1,2.96875
2,34,0,2.412430603982065,1.8763939891897483,4,5.8125,7,12.9375,6,3.125
2,35,0,2.4481253284615283,1.8612411525565247,5,5.75,9,13.125,2,3.46875
2,36,0,2.3810689160894563,1.8304268426403099,4,5.75,7,13.1875,8,3.65625
2,37,0,2.336632795480941,1.7881997970271784,4,5.46875,7,12.375,5,3.78125
2,38,0,2.349577688428624,1.7932817973494817,4,5.71875,7,12.5,10,4.375
2,39,0,2.408437835081043,1.8088476393551758,5,5.90625,9,13.0625,6,4.6875
2,40,0,2.366448168726819,1.8822833935201617,4,5.53125,7,12.25,1,4.75
2,41,0,2.354721681125822,1.664152384959659,4,5.28125,7,11.6875,13,5.03125
2,42,0,2.3448336708943045,1.8692324875330386,5,5.46875,11,12.125,4,5.25
2,43,0,2.5549047504567963,1.9325240730819258,5,5.40625,11,12.0,5,5.625
2,44,0,2.411878557820211,2.014258559227345,4,5.46875,7,12.0625,1,6.3125
2,45,0,2.43300647970373,2.0455895647195925,4,5.28125,7,11.0625,2,6.65625
2,46,0,2.376290677450143,1.9999509289164736,4,5.40625,7,11.25,3,6.28125
2,47,0,3.223317443984178,2.132204884518051,5,5.3125,11,10.6875,1,5.40625
2,48,0,3.273111888018053,2.2528361854868564,4,5.40625,9,10.6875,1,4.8125
2,49,0,3.718099075290574,2.3986098623750682,4,5.46875,9,10.5625,2,4.96875
3,0,0,0.962871287429674,0.6273844302880418,3,3.0625,7,6.9375,1,1.0
3,1,0,1.2937438330372735,0.7536602688951313,4,3.1875,9,7.1875,1,1.5625
3,2,0,1.6000819450503876,0.9246891525736882,3,3.09375,5,6.9375,1,1.96875
3,3,0,1.6109938002338184,1.0014361404140901,3,3.1875,5,6.8125,1,2.28125
3,4,0,1.5777770746966318,1.017221847629682,3,3.3125,5,7.0,2,2.53125
3,5,0,1.6420124221296732,1.0755527495706638,3,3.375,5,7.1875,3,2.5625
3,6,0,1.6026362296323393,1.115857814294664,4,3.53125,7,7.8125,2,3.125
3,7,0,1.6471269392374388,1.1611324583069036,3,3.625,5,8.125,1,3.78125
3,8,0,1.6223540641700005,1.2025595621170277,3,3.78125,5,8.75,2,4.0625
3,9,0,1.6381097531667148,1.3187534157082912,4,3.84375,7,9.0625,1,4.03125
3,10,0,1.6170601034249894,1.378957130847551,3,3.8125,5,8.75,3,4.1875
3,11,0,1.637485707361042,1.4859819442798263,4,3.65625,7,7.8125,1,4.15625
3,12,0,1.661742909765148,1.556841775517388,4,3.59375,9,6.6875,1,3.84375
3,13,0,1.6713215569880342,1.5662368606307264,4,3.625,7,6.6875,3,4.3125
3,14,0,1.6575621922667927,1.586025076975588,3,3.75,5,6.9375,4,4.71875
3,15,0,1.6473362945547976,1.6082012478197265,4,4.0,7,7.5,5,4.5625
3,16,0,1.6605100103443289,1.6085828858732818,4,4.0625,7,7.5625,6,4.1875
3,17,0,1.6545558724264122,1.6038141833104111,3,4.15625,5,7.75,2,5.125
3,18,0,1.6466769655962339,1.6100555026742618,4,4.15625,7,7.6875,1,5.5625
3,19,0,1.6956868556925508,1.6228984840964142,5,4.25,9,7.9375,1,5.78125
3,20,0,1.8478848999179438,1.627294356137857,3,4.5,5,8.25,5,5.78125
3,21,0,1.8301612956675246,1.627897969605756,7,4.65625,15,8.75,1,5.65625
3,22,0,1.7125389289343191,1.6291750185719907,5,4.53125,9,8.4375,3,5.625
3,23,0,1.7205309278383019,1.6275516273970485,5,4.65625,9,8.6875,5,5.3125
3,24,0,1.685588466196309,1.632827490668346,4,4.71875,7,8.8125,1,4.78125
3,25,0,1.734309300076872,1.63022808497502,5,4.8125,9,8.875,7,5.5625
3,26,0,1.718848061317503,1.645885869060148,6,4.71875,11,8.8125,2,5.75
3,27,0,1.742480808959226,1.6498950157177092,6,4.8125,13,9.0,1,6.3125
3,28,0,1.705211308025227,1.642620987884058,4,4.75,7,8.9375,6,6.125
3,29,0,1.7336810757472705,1.6546504884700544,5,4.78125,9,9.125,10,6.3125
3,30,0,1.7241332266889882,1.6542396743449723,6,4.875,13,9.25,4,6.4375
3,31,0,1.7827063927978328,1.674050816322083,5,4.90625,9,9.375,1,5.59375
3,32,0,1.7396524539314,1.6720125187285269,5,5.0625,9,9.8125,3,5.125
3,33,0,1.7820192815903568,1.690829120994672,5,5.15625,9,10.0,3,4.71875
3,34,0,1.78930436360816,1.7002298384108703,5,5.46875,9,10.4375,4,3.9375
3,35,0,1.80469192584321,1.7080441321398019,5,5.5625,9,10.8125,5,4.09375
3,36,0,1.786138387422321,1.7199261621307311,6,5.71875,11,10.9375,1,3.78125
3,37,0,1.7934970529605758,1.7228043892264058,6,5.90625,11,11.125,2,3.625
3,38,0,1.8090001956590482,1.7349093433343985,6,5.96875,11,11.1875,5,3.625
3,39,0,1.812185080624001,1.7499646370803565,6,5.90625,11,11.125,7,3.125
3,40,0,2.064199349791208,1.7776558598898418,7,5.9375,15,11.1875,3,3.75
3,41,0,1.8236793873518558,1.7752761805155446,6,6.0625,11,11.5,5,3.40625
3,42,0,1.838254732087028,1.7702591093751832,6,6.0625,11,11.5,1,3.84375
3,43,0,1.8389253242797228,1.7614546287746669,6,6.15625,11,11.875,3,4.15625
3,44,0,1.8245960449916598,1.7692770380777783,6,6.15625,11,12.0625,9,4.125
3,45,0,1.8330339896451842,1.7769807447726451,6,6.1875,11,11.875,1,4.5625
3,46,0,1.8438158994783898,1.76861070498589,6,6.1875,11,11.9375,2,4.4375
3,47,0,1.8703842623772258,1.7719001874517675,6,6.1875,11,12.125,7,5.15625
3,48,0,1.838639131947955,1.774379066282048,6,6.03125,11,11.625,4,5.375
3,49,0,2.0696708457309594,1.7982547003371177,6,5.9375,11,11.5625,9,4.78125
