EX,IT,EVALUATIONS,BEST_F,AVERAGE_F,BEST_DEPTH,AVERAGE_DEPTH,BEST_SIZE,AVERAGE_SIZE,BEST_AGE,AVERAGE_AGE 
0,0,0,1.5285560930872881,0.9094611827159446,3,3.0625,7,7.0,1,1.0
0,1,0,1.537417446558715,0.9999824569293804,3,3.09375,7,6.75,2,1.6875
0,2,0,1.506608378578377,1.0315387526378137,3,3.0625,7,6.4375,3,2.21875
0,3,0,1.51741685003472,1.0850273529586558,3,3.0625,7,6.4375,4,2.78125
0,4,0,1.517394383046541,1.1366316686869018,3,3.15625,7,6.5,1,2.96875
0,5,0,1.532437216066046,1.1626509760272783,3,3.15625,7,6.625,2,3.0625
0,6,0,1.566718536542751,1.2173769844471745,3,3.34375,7,7.25,3,3.28125
0,7,0,1.5318273069644222,1.2495288679661847,3,3.40625,7,7.5625,8,3.5625
0,8,0,2.257813395905364,1.3242536427697378,4,3.5,9,7.75,1,4.0
0,9,0,2.281999165335407,1.3615617805833953,4,3.625,9,8.0,2,3.96875
0,10,0,2.2430437570658333,1.4315901235360151,4,3.4375,9,7.5,1,4.4375
0,11,0,2.341242131832197,1.4732826258478569,4,3.53125,9,7.75,2,4.40625
0,12,0,2.2842742633977573,1.4800762273311867,4,3.4375,9,7.5625,3,4.875
0,13,0,2.303263153281624,1.4989190387827904,4,3.59375,9,8.0625,4,4.96875
0,14,0,2.382320915277517,1.53958290383456,4,3.6875,9,8.25,5,4.46875
0,15,0,2.3239264987818666,1.5568095084614564,4,3.65625,9,8.25,1,4.0
0,16,0,2.407683281437926,1.5369944350970661,4,3.8125,9,8.75,9,3.65625
0,17,0,2.2847893086185413,1.5623217874909008,4,3.78125,9,8.75,10,4.25
0,18,0,2.293714266654852,1.6097181110834153,4,3.75,9,8.5625,11,4.09375
0,19,0,2.310694682083508,1.7187421351304295,3,3.71875,7,8.8125,2,4.21875
0,20,0,2.3105891079575,1.712923777059575,4,3.90625,9,9.3125,13,4.125
0,21,0,2.468306747024827,1.8555063879311275,5,3.9375,11,9.1875,1,3.9375
0,22,0,2.4093462385874957,2.0101259211581826,5,4.0625,11,9.625,2,3.5625
0,23,0,2.50272783281644,2.1100802354264054,6,4.21875,13,10.125,1,3.625
0,24,0,2.4916604032049072,2.3066237169542627,5,4.28125,11,10.125,1,3.6875
0,25,0,2.519860046885759,2.313167177481203,5,4.28125,11,10.1875,2,4.5
0,26,0,2.518211522111643,2.337818187527418,5,4.34375,13,10.5,1,4.375
0,27,0,2.5215353952190758,2.3613111435941745,5,4.375,13,10.5625,2,4.3125
0,28,0,2.5769029049453387,2.3928227717477766,7,4.625,23,11.5,1,3.375
0,29,0,3.087849343895088,2.4308456211340728,4,4.6875,9,11.75,4,3.625
0,30,0,2.5359940858408128,2.424036718829662,5,4.78125,15,12.125,4,3.84375
0,31,0,2.567641658923716,2.454301531624025,5,5.03125,13,13.1875,1,4.0625
0,32,0,2.5365702184049024,2.4650851149112674,5,5.125,15,13.5625,3,4.125
0,33,0,2.577371805666842,2.4864137372072097,6,5.25,17,13.9375,2,4.71875
0,34,0,2.567385172003904,2.499307298798537,5,5.375,13,14.5,4,4.75
0,35,0,2.570982810054076,2.5110001667816713,5,5.4375,13,14.6875,8,4.78125
0,36,0,2.615426378838861,2.5240561380207525,5,5.59375,11,15.375,13,4.5
0,37,0,2.572003491543826,2.5265796259052986,7,5.46875,19,15.125,3,4.90625
0,38,0,2.601528703731518,2.527175221563917,7,5.5,21,15.4375,3,5.03125
0,39,0,2.581933940163298,2.533417205141883,5,5.46875,13,15.125,2,4.34375
0,40,0,2.596030935547292,2.5391092248718903,6,5.5,17,15.375,1,4.5625
0,41,0,2.59235577557429,2.545088257129036,4,5.5625,11,15.4375,2,4.71875
0,42,0,2.612507400220088,2.53544976705833,5,5.59375,13,15.3125,1,5.09375
0,43,0,2.595876720081135,2.5459681274820496,7,5.59375,19,15.1875,2,4.875
0,44,0,2.585392417291387,2.541856654023414,6,5.78125,17,16.0,2,4.53125
0,45,0,2.6422310825085,2.548510265162109,6,5.96875,17,16.4375,6,4.5
0,46,0,2.660647251793348,2.543977602124454,7,6.0,19,16.25,2,4.5625
0,47,0,3.1891254153581623,2.5618881684269317,4,6.15625,11,16.4375,8,4.15625
0,48,0,2.665428960830036,2.5599651805938035,7,6.03125,19,16.0625,4,4.78125
0,49,0,2.621516467208055,2.5598997589334336,6,6.03125,17,15.875,10,4.71875
1,0,0,1.479357493844538,0.903239132940774,3,3.03125,7,6.9375,1,1.0
1,1,0,1.4587370983873829,0.9950728496270548,3,3.09375,7,7.0625,2,1.6875
1,2,0,1.658363475044817,1.0601909141552626,3,3.1875,7,7.125,3,2.21875
1,3,0,1.471252209411453,1.0726306218170814,4,3.25,9,7.25,1,2.5
1,4,0,1.493227201301138,1.092745766820143,3,3.34375,7,7.3125,5,2.75
1,5,0,1.461565067485619,1.1080697492444007,3,3.4375,7,7.3125,6,3.21875
1,6,0,1.499947388522136,1.1319788297564635,4,3.53125,9,7.4375,4,3.46875
1,7,0,1.5720800322806792,1.1750068895376355,3,3.40625,5,7.125,1,3.625
1,8,0,1.641008378615698,1.2472253110947198,4,3.28125,9,6.9375,1,3.65625
1,9,0,2.064509045284578,1.3296389292259503,4,3.21875,9,6.75,1,3.75
1,10,0,1.920802762994691,1.385729303631585,4,3.1875,9,6.625,3,3.71875
1,11,0,1.892187527480594,1.4203661021748237,4,3.3125,9,6.875,4,3.75
1,12,0,1.8788829758235082,1.4947823628172887,4,3.34375,9,7.0,5,4.03125
1,13,0,1.8904432417513068,1.5505241900215605,4,3.3125,9,6.5625,5,4.0
1,14,0,2.282816680084942,1.6331952492965227,3,3.375,5,6.5625,1,3.875
1,15,0,2.366960269535611,1.6851400009293878,4,3.53125,7,6.625,1,3.375
1,16,0,2.262805116609701,1.6914668257691663,3,3.625,5,6.8125,5,4.125
1,17,0,2.132772342496959,1.6893427844561326,4,3.625,9,6.75,4,4.71875
1,18,0,2.2562732773747403,1.6953141637405869,3,3.71875,5,7.0,3,5.25
1,19,0,2.296058241994258,1.765999367658272,3,3.65625,5,7.0,6,5.5
1,20,0,2.6105293989061,1.8562021100361263,4,3.84375,9,7.5,6,5.6875
1,21,0,2.235978280583401,1.7618695587441895,4,3.96875,9,7.8125,2,5.71875
1,22,0,2.249610800296476,1.7922685403422705,4,4.0,9,8.125,3,5.375
1,23,0,2.248826760584802,1.8280856047504657,7,4.03125,15,8.375,8,5.9375
1,24,0,2.276846872631283,1.8341024475173653,3,4.0625,5,8.5,5,6.34375
1,25,0,2.443890390858569,1.882758437858868,6,4.15625,13,8.6875,4,7.21875
1,26,0,2.308624563542629,1.8651001648540422,3,4.34375,5,9.25,3,6.90625
1,27,0,2.770692968657636,1.9256071350216857,7,4.5,17,9.6875,3,6.84375
1,28,0,2.3755362263117847,1.9585076913498458,7,4.6875,13,10.1875,1,6.46875
1,29,0,2.936024174871995,2.0037766065484943,4,4.90625,9,11.0625,10,6.75
1,30,0,2.7538164642846903,2.038049680603225,4,5.0625,9,11.6875,2,7.0625
1,31,0,2.960518571023571,2.1261573470602517,6,5.0625,15,11.875,1,6.625
1,32,0,2.7482857439059325,2.119455821608715,4,4.96875,9,11.75,4,6.78125
1,33,0,2.9354884390317295,2.1043092189683783,4,5.09375,9,12.3125,15,6.9375
1,34,0,2.600626108296532,2.1381833813493314,4,5.15625,9,12.625,6,6.59375
1,35,0,2.694027337416376,2.120475201373737,4,5.28125,9,12.8125,7,6.71875
1,36,0,3.202797570405971,2.1585458750626425,7,5.3125,15,12.875,6,7.0
1,37,0,2.479640044701798,2.084947363770692,7,5.46875,15,13.1875,7,6.65625
1,38,0,3.0035146252540628,2.250054934701332,6,5.53125,13,13.6875,3,6.65625
1,39,0,2.7760517256036197,2.1368074290176824,6,5.5625,19,13.8125,5,7.0625
1,40,0,3.08503592579768,2.229774027687798,7,5.65625,15,14.375,10,7.59375
1,41,0,3.170768200959144,2.267528686629887,7,5.71875,15,14.75,11,7.15625
