J1,J2,Wins,Type,Turns,Map
a_0,s_0,s_0,SLOPE,1001,11
a_0,s_1,a_0,AREA,1001,11
a_0,s_2,s_2,SLOPE,1001,11
a_0,s_3,s_3,SLOPE,1001,11
a_0,s_4,a_0,AREA,78,11
a_0,s_5,a_0,AREA,101,11
a_0,s_6,s_6,SLOPE,1001,11
a_0,s_7,s_7,SLOPE,186,11
a_0,s_8,a_0,AREA,69,11
a_0,s_9,s_9,SLOPE,1001,11
a_0,s_10,s_10,SLOPE,1001,11
a_0,s_11,s_11,SLOPE,1001,11
a_0,s_12,s_12,SLOPE,1001,11
a_0,s_13,s_13,SLOPE,1001,11
a_0,s_14,s_14,SLOPE,1001,11
a_0,s_15,s_15,SLOPE,1001,11
a_0,s_16,a_0,AREA,1001,11
a_0,s_17,a_0,AREA,93,11
a_0,s_18,s_18,SLOPE,1001,11
a_0,s_19,s_19,SLOPE,1001,11
a_0,s_20,a_0,AREA,1001,11
a_0,s_0,a_0,AREA,1001,76
a_0,s_1,a_0,AREA,146,76
a_0,s_2,a_0,AREA,128,76
a_0,s_3,s_3,SLOPE,1001,76
a_0,s_4,s_4,SLOPE,1001,76
a_0,s_5,a_0,AREA,1001,76
a_0,s_6,s_6,SLOPE,72,76
a_0,s_7,s_7,SLOPE,209,76
a_0,s_8,s_8,SLOPE,1001,76
a_0,s_9,a_0,AREA,1001,76
a_0,s_10,a_0,AREA,1001,76
a_0,s_11,s_11,SLOPE,47,76
a_0,s_12,s_12,SLOPE,1001,76
a_0,s_13,a_0,AREA,1001,76
a_0,s_14,s_14,SLOPE,1001,76
a_0,s_15,s_15,SLOPE,1001,76
a_0,s_16,s_16,SLOPE,201,76
a_0,s_17,a_0,AREA,1001,76
a_0,s_18,s_18,SLOPE,1001,76
a_0,s_19,s_19,SLOPE,47,76
a_0,s_20,a_0,AREA,1001,76
a_0,s_0,s_0,SLOPE,1001,69
a_0,s_1,s_1,SLOPE,1001,69
a_0,s_2,a_0,AREA,70,69
a_0,s_3,s_3,SLOPE,1001,69
a_0,s_4,a_0,AREA,140,69
a_0,s_5,a_0,AREA,1001,69
a_0,s_6,s_6,SLOPE,1001,69
a_0,s_7,s_7,SLOPE,190,69
a_0,s_8,s_8,SLOPE,1001,69
a_0,s_9,s_9,SLOPE,1001,69
a_0,s_10,s_10,SLOPE,1001,69
a_0,s_11,s_11,SLOPE,1001,69
a_0,s_12,s_12,SLOPE,1001,69
a_0,s_13,s_13,SLOPE,1001,69
a_0,s_14,a_0,AREA,108,69
a_0,s_15,s_15,SLOPE,123,69
a_0,s_16,s_16,SLOPE,157,69
a_0,s_17,s_17,SLOPE,104,69
a_0,s_18,s_18,SLOPE,1001,69
a_0,s_19,s_19,SLOPE,1001,69
a_0,s_20,a_0,AREA,1001,69
a_0,s_0,s_0,SLOPE,1001,7
a_0,s_1,s_1,SLOPE,1001,7
a_0,s_2,s_2,SLOPE,1001,7
a_0,s_3,a_0,AREA,1001,7
a_0,s_4,s_4,SLOPE,1001,7
a_0,s_5,s_5,SLOPE,1001,7
a_0,s_6,s_6,SLOPE,1001,7
a_0,s_7,a_0,AREA,117,7
