EX,IT,EVALUATIONS,BEST_F,AVERAGE_F,BEST_DEPTH,AVERAGE_DEPTH,BEST_SIZE,AVERAGE_SIZE,BEST_AGE,AVERAGE_AGE 
t_00,0,0,2.0,0.46875,3,3.15625,7,7.0,1,1.0
t_00,1,0,2.0,0.75,4,3.25,9,7.0625,2,1.71875
t_00,2,0,2.0,1.09375,5,3.53125,11,7.6875,1,2.09375
t_00,3,0,2.0,1.34375,3,3.53125,7,7.5625,1,2.71875
t_00,4,0,2.0,1.40625,3,3.65625,7,8.0625,1,2.6875
t_00,5,0,2.0,1.65625,3,3.625,5,7.875,1,2.71875
t_00,6,0,3.0,1.84375,4,3.75,9,8.125,1,2.96875
t_00,7,0,2.0,2.0,3,3.75,7,8.25,4,3.375
t_00,8,0,2.0,2.0,3,3.78125,7,8.1875,5,3.8125
t_00,9,0,4.0,2.125,4,3.90625,9,8.375,4,3.6875
t_00,10,0,4.0,2.25,4,4.03125,9,8.4375,5,3.8125
t_00,11,0,4.0,2.1875,3,4.03125,5,8.5,3,4.21875
t_00,12,0,4.0,2.34375,3,4.0,5,8.0625,1,4.09375
t_00,13,0,5.0,2.5625,3,3.78125,7,7.625,1,3.9375
t_00,14,0,5.0,2.78125,3,3.75,7,7.4375,2,4.09375
t_00,15,0,5.0,2.84375,3,3.59375,5,7.1875,4,4.5
t_00,16,0,5.0,3.09375,3,3.6875,5,7.3125,5,4.5
t_00,17,0,5.0,3.1875,4,3.71875,9,7.375,3,4.5625
t_00,18,0,5.0,3.46875,4,3.65625,9,7.3125,4,4.21875
t_00,19,0,5.0,3.78125,4,3.78125,9,7.5625,5,4.125
t_00,20,0,5.0,3.9375,3,3.8125,7,7.6875,3,3.9375
t_00,21,0,5.0,4.25,3,3.65625,7,7.375,9,4.5
t_00,22,0,5.0,4.34375,3,3.5625,7,7.375,10,4.3125
t_00,23,0,5.0,4.4375,3,3.75,7,7.75,11,4.25
t_00,24,0,5.0,4.59375,3,3.71875,7,7.8125,12,4.46875
