EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2727,5000, 33,  12,   10,     2,    393 
1914,5000, 32,  12,   10,     2,    399 
1859,5000, 29,  12,   10,     2,    394 
1797,5000, 32,  12,   10,     2,    400 
1931,5000, 41,  12,   10,     2,    395 
1830,5000, 41,  12,   10,     2,    398 
1787,5000, 29,  12,   10,     2,    394 
1826,5000, 33,  12,   10,     2,    396 
1818,5000, 36,  12,   10,     2,    393 
1796,5000, 31,  12,   10,     2,    396 
