standardDeviation,noOfPeaks,EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
443.9284226589287,1,11876.666666666666,5019.888888888889,268.6666666666667,10.0,10.0,2.0,396.22222222222223
87.87378715598754,1,3073.5555555555557,5018.888888888889,19.555555555555557,10.0,1.0,2.0,394.44444444444446
161.47324855839125,0,3788.3,5020.0,49.1,10.0,2.0,2.0,395.8
173.92172213987175,1,4534.888888888889,5020.0,69.22222222222223,10.0,3.0,2.0,395.3333333333333
264.9078330287725,0,5493.8,5019.0,103.3,10.0,4.0,2.0,395.7
230.64258063072396,1,5965.333333333333,5019.444444444444,126.33333333333333,10.0,5.0,2.0,394.8888888888889
269.5880716854174,1,7644.222222222223,5021.888888888889,178.44444444444446,10.0,6.0,2.0,395.3333333333333
419.95185438333283,0,8846.8,5020.0,188.4,10.0,7.0,2.0,396.2
391.79453799153447,0,9392.2,5020.0,213.2,10.0,8.0,2.0,394.6
418.42827607873517,1,10590.0,5022.222222222223,241.66666666666666,10.0,9.0,2.0,396.1111111111111
552.8408812669338,0,11712.6,5020.3,260.0,11.0,10.0,2.0,396.1
98.67319798202548,0,3139.0,5022.0,19.6,11.0,1.0,2.0,396.1
175.85744226503465,0,3693.6,5022.0,42.3,11.0,2.0,2.0,394.7
214.2830137925076,0,4433.7,5019.8,65.9,11.0,3.0,2.0,395.2
237.82328873906917,4,5239.5,5025.666666666667,92.16666666666667,11.0,4.0,2.0,393.3333333333333
160.21747719896226,0,6467.4,5021.9,124.6,11.0,5.0,2.0,394.3
327.6103957883074,3,6933.0,5021.857142857143,148.42857142857142,11.0,6.0,2.0,397.14285714285717
352.5199582827252,1,7774.111111111111,5022.111111111111,168.77777777777777,11.0,7.0,2.0,393.77777777777777
428.9866612792938,1,8751.333333333334,5019.555555555556,199.11111111111111,11.0,8.0,2.0,396.55555555555554
353.66720203592297,3,10044.714285714286,5026.571428571428,228.85714285714286,11.0,9.0,2.0,393.85714285714283
486.2437533319282,1,9946.888888888889,5026.555555555556,231.11111111111111,12.0,10.0,2.0,396.44444444444446
149.51212841508837,1,3119.1111111111113,5022.666666666667,19.444444444444443,12.0,1.0,2.0,394.6666666666667
148.56634881425873,0,3659.2,5027.1,40.0,12.0,2.0,2.0,395.3
181.01244756325326,1,4449.222222222223,5024.0,62.77777777777778,12.0,3.0,2.0,394.55555555555554
231.7767986123719,2,5081.625,5022.5,80.0,12.0,4.0,2.0,393.375
230.25570568392004,0,5658.9,5024.0,114.8,12.0,5.0,2.0,396.9
238.642922468789,1,7019.0,5021.0,150.22222222222223,12.0,6.0,2.0,394.1111111111111
376.0485205341438,3,7686.714285714285,5022.285714285715,169.0,12.0,7.0,2.0,395.85714285714283
410.9360503776713,2,8488.25,5026.375,185.25,12.0,8.0,2.0,393.875
406.5313641036814,2,9211.0,5024.0,213.75,12.0,9.0,2.0,396.25
381.6150416322711,0,9405.6,5024.7,217.6,13.0,10.0,2.0,396.0
118.70252735304332,0,3214.9,5024.7,20.7,13.0,1.0,2.0,394.5
162.53440281603594,1,3705.1111111111113,5024.555555555556,45.0,13.0,2.0,2.0,394.22222222222223
179.9561335437056,0,4234.3,5026.0,57.8,13.0,3.0,2.0,393.9
212.14303350962686,1,4916.0,5024.555555555556,84.22222222222223,13.0,4.0,2.0,395.0
184.49726285232526,0,5681.4,5026.0,110.1,13.0,5.0,2.0,395.2
261.87470167047445,2,5920.125,5022.75,121.5,13.0,6.0,2.0,396.75
338.98519141697034,0,7068.8,5027.8,151.3,13.0,7.0,2.0,396.0
277.0635306206863,0,7814.0,5029.1,182.6,13.0,8.0,2.0,396.0
336.2218183150985,1,8717.0,5026.0,198.33333333333334,13.0,9.0,2.0,392.77777777777777
447.22253968242705,1,10173.333333333334,5028.0,211.88888888888889,14.0,10.0,2.0,394.6666666666667
134.1012147688049,1,3109.5555555555557,5024.888888888889,18.555555555555557,14.0,1.0,2.0,396.0
182.11644626447114,0,3667.0,5028.0,36.8,14.0,2.0,2.0,396.6
131.60550900323284,0,4238.7,5026.6,58.2,14.0,3.0,2.0,396.0
211.23814891149647,1,4814.0,5028.0,73.66666666666667,14.0,4.0,2.0,395.22222222222223
281.49766872924545,2,5939.25,5022.75,110.125,14.0,5.0,2.0,394.875
355.08483493385074,0,7401.6,5028.0,139.3,14.0,6.0,2.0,394.8
358.43269940115675,0,7561.0,5028.0,138.5,14.0,7.0,2.0,395.9
432.11109682580474,1,8977.0,5026.444444444444,192.11111111111111,14.0,8.0,2.0,395.1111111111111
273.75633437830237,3,9028.42857142857,5028.0,194.14285714285714,14.0,9.0,2.0,395.85714285714283
430.02149292215614,2,9369.625,5030.0,197.5,15.0,10.0,2.0,395.25
115.26061773216384,0,3368.3,5027.0,16.9,15.0,1.0,2.0,394.1
183.0389029687405,0,3920.4,5028.5,30.2,15.0,2.0,2.0,393.9
113.041098720775,0,4623.1,5028.5,51.3,15.0,3.0,2.0,394.6
243.37214302380625,2,5027.0,5030.0,71.5,15.0,4.0,2.0,393.375
256.69631863351685,2,5834.0,5030.0,99.75,15.0,5.0,2.0,396.0
255.72096120576427,0,6451.7,5030.0,113.0,15.0,6.0,2.0,395.4
306.74416762996486,2,6945.625,5030.0,131.875,15.0,7.0,2.0,395.5
343.2694544630311,3,7861.285714285715,5030.0,169.71428571428572,15.0,8.0,2.0,395.57142857142856
385.7586680814833,2,9289.0,5030.0,178.5,15.0,9.0,2.0,394.75
412.02456237462343,0,8591.6,5028.9,191.8,16.0,10.0,2.0,395.0
152.36735214605523,0,3293.7,5032.0,16.2,16.0,1.0,2.0,395.4
148.67871401111861,0,3568.2,5033.6,29.7,16.0,2.0,2.0,396.3
112.97521852158552,0,3986.0,5032.0,50.2,16.0,3.0,2.0,394.6
177.75187311266717,1,4503.777777777777,5032.0,60.888888888888886,16.0,4.0,2.0,395.1111111111111
163.24386665354382,0,5226.8,5032.0,88.2,16.0,5.0,2.0,394.4
214.74831780482003,0,5909.4,5030.4,119.0,16.0,6.0,2.0,394.2
308.8401528299065,0,6293.4,5031.8,129.0,16.0,7.0,2.0,395.8
351.2587242447149,1,7272.555555555556,5032.0,152.88888888888889,16.0,8.0,2.0,394.8888888888889
326.1934395416315,0,7636.8,5032.1,168.1,16.0,9.0,2.0,395.1
346.515672244577,1,7690.666666666667,5034.666666666667,173.22222222222223,17.0,10.0,2.0,396.1111111111111
65.56592102609403,0,3039.1,5034.0,16.5,17.0,1.0,2.0,395.6
151.31981859624338,2,3376.75,5034.0,28.25,17.0,2.0,2.0,394.875
143.39958158934775,0,3932.6,5034.0,49.1,17.0,3.0,2.0,396.6
212.35244288681963,0,4314.2,5034.0,55.7,17.0,4.0,2.0,393.8
191.62974716885688,0,4750.2,5034.0,76.8,17.0,5.0,2.0,395.6
246.51904591734896,0,5357.6,5034.0,93.6,17.0,6.0,2.0,396.2
277.42487271331674,0,6026.2,5034.0,123.4,17.0,7.0,2.0,395.2
239.83902935093778,0,6657.8,5034.0,139.7,17.0,8.0,2.0,395.1
270.024187302536,1,7485.777777777777,5034.0,156.77777777777777,17.0,9.0,2.0,396.0
374.32387046513617,0,7513.8,5034.2,158.1,18.0,10.0,2.0,394.7
98.6367578542604,0,3154.7,5034.2,15.8,18.0,1.0,2.0,395.8
128.07501707983488,0,3544.7,5036.0,27.7,18.0,2.0,2.0,394.3
189.12260408264265,2,3910.125,5036.0,44.5,18.0,3.0,2.0,395.625
178.74621674318033,0,4434.3,5036.0,66.2,18.0,4.0,2.0,395.6
198.70078006892678,1,4925.333333333333,5036.0,79.66666666666667,18.0,5.0,2.0,393.55555555555554
242.6157661818374,0,5404.3,5036.0,91.8,18.0,6.0,2.0,395.9
231.9099178560503,0,6110.3,5032.7,117.3,18.0,7.0,2.0,394.8
249.29966102595154,1,6607.111111111111,5036.0,127.88888888888889,18.0,8.0,2.0,395.44444444444446
