method	response
P1	463.6
P1	531.4
P1	515.8
P1	488.6
P1	490.4
P1	509.2
P1	487.2
P1	474.4
P1	511
P1	517.6
P1	451.4
P1	494
P1	451.6
P1	527.2
P1	474.4
P1	473.8
P1	476
P1	511
P1	491.6
P1	503.2
P1	515
P1	499
P1	512.8
P1	504
P1	490.6
P1	512.2
P1	491.4
P1	490.4
P1	512.4
P1	494.2
P2	513.8
P2	430.8
P2	451.6
P2	456.8
P2	457.6
P2	474.2
P2	464.8
P2	441.2
P2	476.4
P2	469.4
P2	426.4
P2	485.4
P2	429.8
P2	516.2
P2	482.8
P2	496.8
P2	501
P2	474.4
P2	492.2
P2	491
P2	472.8
P2	501.8
P2	421.2
P2	463.2
P2	465.8
P2	463.8
P2	488.4
P2	491.4
P2	474.4
P2	460.8
P3	479.6
P3	477.8
P3	469.6
P3	503.8
P3	430
P3	457.8
P3	449.8
P3	449.2
P3	452
P3	456.8
P3	481.8
P3	456.4
P3	480.8
P3	475.2
P3	476.2
P3	457
P3	415
P3	478.6
P3	438.6
P3	463.8
P3	449.6
P3	400
P3	424.6
P3	457.2
P3	381
P3	520
P3	441
P3	442
P3	466.4
P3	431
P4	449.4
P4	419.4
P4	426
P4	372
P4	413.8
P4	463.6
P4	426
P4	413
P4	360
P4	429.8
P4	461.8
P4	398.4
P4	475.8
P4	451.2
P4	431.2
P4	358
P4	385.6
P4	449.8
P4	442.8
P4	469.8
P4	470.8
P4	444.2
P4	464.2
P4	448.6
P4	426
P4	416.8
P4	469
P4	438.6
P4	456.8
P4	425.4
P5	395.4
P5	387.6
P5	400.8
P5	446.2
P5	368.6
P5	408
P5	453.4
P5	464.4
P5	409.4
P5	401.6
P5	414
P5	392
P5	428.6
P5	379
P5	353.6
P5	444.4
P5	400.6
P5	426
P5	405.6
P5	412.6
P5	405.2
P5	411
P5	413
P5	410.4
P5	398
P5	425.6
P5	414.2
P5	379.6
P5	442.4
P5	446
